V4,V2,V3,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Summer,bowneck,sleevless,natural,chiffonfabric,sattin,rivet,solid,1
6.0,Novelty,Average,M,Spring,v-neck,full,empire,cotton,jersey,tassel,floral,2
2.0,Sexy,Average,S,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,beading,character,1
2.0,Casual,Average,XL,Spring,bowneck,short,natural,cotton,woolen,applique,solid,1
6.0,bohemian,Average,M,Spring,Sweetheart,Petal,empire,cashmere,chiffon,applique,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Flare,Average,M,Autumn,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,dot,1
6.0,Casual,Average,M,Autumn,Sweetheart,cap-sleeves,empire,cotton,broadcloth,cascading,character,2
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,acrylic,flannael,applique,character,1
2.0,Novelty,Average,L,Spring,Sweetheart,Petal,empire,cotton,flannael,applique,floral,1
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,cascading,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Automn,boat-neck,Petal,dropped,chiffonfabric,flannael,applique,character,1
6.0,Casual,High,M,Spring,backless,Petal,empire,cashmere,chiffon,Tiered,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Summer,peterpan-collor,sleevless,natural,polyster,sattin,pearls,solid,1
2.0,Novelty,Average,L,Automn,Sweetheart,Petal,dropped,lace,broadcloth,applique,character,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
6.0,Brief,low,M,Winter,o-neck,sleeevless,empire,polyster,other,lace,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,floral,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Summer,backless,Petal,empire,cashmere,flannael,applique,character,1
2.0,bohemian,Average,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,applique,dot,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,bohemian,Low,M,Automn,Sweetheart,Petal,empire,cashmere,Corduroy,beading,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Autumn,halter,cap-sleeves,empire,cashmere,broadcloth,cascading,animal,2
2.0,Casual,Average,L,Automn,open,short,empire,cashmere,chiffon,bow,leopard,1
2.0,Casual,Average,L,Automn,Sweetheart,Petal,dropped,cashmere,dobby,Tiered,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
6.0,cute,Low,XL,Summer,v-neck,sleevless,natural,rayon,chiffon,sashes,solid,2
2.0,Flare,Average,M,Automn,Sweetheart,Petal,dropped,cashmere,broadcloth,Tiered,animal,1
2.0,Casual,Average,L,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,Tiered,character,1
5.0,Casual,Average,free,Spring,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Automn,Sweetheart,Petal,empire,chiffonfabric,broadcloth,Tiered,animal,1
2.0,work,Average,L,Automn,backless,Petal,empire,acrylic,chiffon,bow,solid,1
4.0,party,high,free,Summer,slash-neck,full,natural,polyster,chiffon,tassel,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Autumn,halter,cap-sleeves,empire,chiffonfabric,knitting,applique,animal,2
2.0,Brief,low,L,Automn,boat-neck,Petal,dropped,cashmere,flannael,applique,leapord,1
4.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Casual,High,M,Automn,boat-neck,Petal,empire,chiffonfabric,dobby,applique,floral,1
2.0,Sexy,Average,L,Spring,boat-neck,sleevless,empire,cashmere,jersey,applique,print,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,Average,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,floral,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,floral,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,character,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,empire,cashmere,chiffon,applique,character,1
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,cascading,character,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
4.0,work,Low,free,Spring,Scoop,halfsleeve,empire,polyster,worsted,sashes,solid,2
6.0,Novelty,Average,L,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,bohemian,Average,XL,Spring,turndowncollor,thressqatar,natural,cotton,chiffon,embroidary,striped,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
2.0,Casual,Average,L,Automn,Sweetheart,Petal,dropped,acrylic,broadcloth,applique,floral,1
2.0,Novelty,Average,M,Automn,Sweetheart,Petal,empire,cashmere,batik,beading,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
6.0,bohemian,Average,M,Spring,Scoop,Petal,empire,cashmere,flannael,applique,animal,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Sexy,Average,free,Spring,bowneck,halfsleeve,empire,cotton,jersey,lace,solid,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
6.0,bohemian,Average,M,Spring,Sweetheart,Petal,empire,chiffonfabric,chiffon,bow,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,high,S,Winter,o-neck,sleevless,natural,silk,flannel,sashes,striped,2
5.0,Casual,Average,free,Summer,o-neck,short,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,L,Winter,v-neck,sleevless,natural,cotton,chiffon,flowers,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Medium,M,Automn,o-neck,Petal,empire,lace,broadcloth,button,character,1
2.0,Casual,Average,M,Autumn,backless,cap-sleeves,empire,cashmere,broadcloth,bow,animal,1
2.0,Novelty,Average,L,Winter,open,sleevless,natural,acrylic,chiffon,embroidary,striped,1
2.0,Casual,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Flare,Average,L,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,floral,1
2.0,Casual,High,L,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,beading,character,1
2.0,Casual,Average,M,summer,open,sleevless,empire,cashmere,organza,sashes,dot,2
3.0,Casual,high,S,Summer,v-neck,short,empire,polyster,lace,lace,animal,2
5.0,Sexy,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Medium,free,Automn,o-neck,urndowncollor,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,beading,character,1
2.0,Casual,High,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,beading,character,1
6.0,Brief,Average,L,Spring,Scoop,Petal,dropped,cashmere,chiffon,bow,animal,1
2.0,Flare,Average,L,Automn,Sweetheart,Petal,empire,chiffonfabric,flannael,Tiered,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
3.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,OL,Low,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,Tiered,dot,1
2.0,Novelty,Average,XL,Summer,v-neck,short,empire,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Spring,Sweetheart,Petal,dropped,cashmere,broadcloth,Tiered,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,character,1
2.0,Casual,Low,L,Automn,Sweetheart,Petal,dropped,cashmere,flannael,Tiered,animal,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Brief,Average,M,Winter,o-neck,sleevless,natural,cashmere,worsted,lace,solid,1
5.0,Casual,Average,free,Spring,o-neck,full,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,animal,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,applique,character,1
2.0,Flare,High,L,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,animal,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,animal,1
2.0,Novelty,Low,M,Automn,Sweetheart,Petal,dropped,acrylic,broadcloth,applique,dot,1
2.0,Flare,High,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,character,1
2.0,Flare,Average,M,Automn,Sweetheart,Petal,dropped,cashmere,flannael,applique,dot,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Flare,Average,L,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,High,L,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
3.0,Brief,High,S,Winter,v-neck,threequarter,dropped,spandex,organza,sashes,patchwork,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,chiffonfabric,flannael,applique,floral,1
2.0,party,Average,free,Winter,o-neck,sleevless,natural,wool,chiffon,sashes,solid,2
2.0,OL,high,free,Winter,boat-neck,full,natural,polyster,knitting,embroidary,print,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Automn,halter,cap-sleeves,empire,cotton,batik,button,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,applique,character,1
2.0,Flare,Average,L,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,floral,1
2.0,OL,Average,M,Automn,Sweetheart,Petal,dropped,cashmere,flannael,applique,dot,1
2.0,Casual,Average,L,Spring,Sweetheart,Petal,dropped,cashmere,flannael,applique,animal,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,chiffon,applique,dot,1
2.0,Flare,High,L,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,Tiered,character,1
2.0,Flare,High,M,Spring,Sweetheart,Petal,empire,cashmere,dobby,applique,dot,1
6.0,Novelty,low,S,Automn,turndowncollor,sleevless,empire,silk,jersey,beading,patchwork,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,Tiered,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,high,M,Spring,boat-neck,full,empire,cashmere,flannael,button,dot,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,beading,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,leopard,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
6.0,Novelty,Average,M,Spring,v-neck,Petal,empire,cotton,broadcloth,applique,solid,2
2.0,Casual,High,M,winter,boat-neck,sleeveless,empire,cotton,chiffon,lace,solid,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,empire,cashmere,flannael,applique,character,1
2.0,Casual,Average,L,Autumn,Sweetheart,cap-sleeves,dropped,cashmere,broadcloth,bow,animal,2
4.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,OL,High,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,bow,character,1
2.0,Brief,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,acrylic,flannael,applique,character,1
6.0,vintage,Average,M,Automn,turndowncollor,halfsleeve,natural,silk,jersey,lace,solid,2
2.0,Novelty,Average,L,Automn,Sweetheart,Petal,empire,acrylic,broadcloth,beading,animal,1
2.0,Novelty,low,L,Summer,peterpan-collor,sleevless,natural,polyster,chiffon,sashes,striped,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Flare,High,L,Automn,Sweetheart,Petal,empire,cashmere,batik,applique,floral,1
4.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,L,Automn,Sweetheart,Petal,empire,cashmere,dobby,applique,floral,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,empire,cashmere,chiffon,applique,dot,1
2.0,bohemian,very-high,M,Summer,slash-neck,sleevless,empire,cotton,batik,sequined,solid,1
2.0,Casual,Average,L,Autumn,Sweetheart,Petal,dropped,acrylic,broadcloth,applique,character,1
6.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,chiffonfabric,flannael,applique,dot,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
6.0,Casual,Average,S,Summer,peterpan-collor,sleevless,natural,polyster,sattin,hollowout,solid,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Automn,boat-neck,Petal,empire,cotton,jersey,applique,solid,1
2.0,Novelty,low,L,Summer,peterpan-collor,sleevless,natural,polyster,worsted,lace,striped,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Novelty,High,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
6.0,Sexy,Average,S,Summer,bowneck,sleevless,natural,chiffonfabric,flannael,button,print,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
4.0,Casual,high,S,Winter,v-neck,sleevless,natural,polyster,wollen,sashes,solid,2
2.0,Casual,Average,L,Automn,Sweetheart,Petal,dropped,acrylic,broadcloth,applique,floral,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,animal,1
2.0,Casual,Average,M,Autumn,Sweetheart,cap-sleeves,dropped,cashmere,broadcloth,applique,character,1
6.0,Casual,Low,L,Spring,v-neck,full,empire,cotton,chiffon,hollowout,animal,1
6.0,Novelty,Average,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,beading,character,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,bow,character,1
2.0,Casual,Average,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Casual,Average,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,animal,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,L,Spring,backless,cap-sleeves,empire,lace,batik,applique,character,1
2.0,party,Average,L,Summer,v-neck,short,empire,cotton,chiffon,lace,solid,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Low,L,Spring,Sweetheart,Petal,empire,chiffonfabric,broadcloth,applique,dot,1
2.0,Casual,Average,M,Spring,Sweetheart,Petal,empire,cotton,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Autumn,boat-neck,cap-sleeves,empire,lace,broadcloth,crystal,character,2
2.0,Flare,Average,L,Spring,Sweetheart,Petal,dropped,acrylic,flannael,applique,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Flare,Average,M,Automn,Sweetheart,Petal,dropped,acrylic,dobby,applique,dot,1
2.0,Novelty,Average,M,Spring,backless,Petal,dropped,cashmere,broadcloth,applique,animal,1
3.0,Casual,Average,M,Automn,Sweetheart,Petal,empire,cashmere,Corduroy,beading,character,1
2.0,Casual,High,M,Summer,backless,Petal,empire,cashmere,chiffon,applique,dot,1
6.0,Casual,Average,M,Spring,Scoop,Petal,empire,cashmere,flannael,applique,animal,2
2.0,Novelty,High,M,Automn,Sweetheart,Petal,dropped,cashmere,flannael,beading,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,bohemian,Low,L,Automn,bowneck,full,natural,nylon,chiffon,lace,solid,2
6.0,bohemian,Average,XL,Summer,v-neck,sleevless,natural,cotton,chiffon,pockets,solid,2
2.0,Sexy,Average,free,Spring,bowneck,halfsleeve,empire,cotton,jersey,lace,solid,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,L,Spring,Sweetheart,Petal,empire,chiffonfabric,chiffon,applique,floral,1
2.0,Flare,Average,M,Automn,Sweetheart,Petal,dropped,cashmere,dobby,applique,floral,1
2.0,Flare,Average,L,Automn,Sweetheart,Petal,empire,lace,broadcloth,applique,animal,1
2.0,Brief,low,M,Spring,o-neck,sleeevless,empire,chiffonfabric,other,feathers,dot,1
6.0,Casual,Average,M,Spring,backless,cap-sleeves,empire,linen,batik,applique,animal,1
6.0,Brief,Average,M,Spring,bowneck,Petal,empire,cashmere,flannael,cascading,animal,1
6.0,Casual,Average,M,Spring,Sweetheart,cap-sleeves,empire,cashmere,broadcloth,applique,animal,2
6.0,Brief,Average,M,Autumn,bowneck,Petal,empire,cotton,jersey,draped,animal,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,empire,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,bow,animal,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Novelty,Average,M,Spring,backless,butterfly,empire,cashmere,broadcloth,bow,animal,1
2.0,Novelty,Average,L,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
4.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,High,L,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,bohemian,Average,S,Summer,boat-neck,full,empire,chiffonfabric,dobby,embroidary,dot,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,OL,Average,L,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Brief,Medium,free,Automn,slash-neck,short,empire,cotton,chiffon,lace,solid,2
2.0,Novelty,very-high,M,Summer,v-neck,sleevless,empire,cotton,dobby,sequined,solid,1
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,batik,lace,solid,2
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,floral,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,chiffon,applique,dot,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,batik,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,animal,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
6.0,Brief,Average,L,Spring,Sweetheart,Petal,empire,cotton,batik,applique,character,1
3.0,Casual,Average,free,Summer,open,sleevless,natural,chiffonfabric,flannael,lace,solid,2
