V4,V2,V3,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
2.0,Novelty,High,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,OL,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Casual,Average,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,applique,floral,1
2.0,Flare,High,L,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,floral,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,fashion,Average,L,Spring,bowneck,sleevless,empire,cotton,jersey,hollowout,animal,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
4.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,chiffonfabric,chiffon,lace,solid,2
2.0,bohemian,Average,XL,Summer,bowneck,sleevless,empire,lace,flannael,beading,character,2
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,beading,character,1
2.0,Flare,High,L,Automn,Sweetheart,Petal,empire,cashmere,dobby,Tiered,floral,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,beading,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Spring,Scoop,Petal,empire,cashmere,chiffon,applique,dot,1
2.0,Flare,Average,L,Spring,backless,Petal,dropped,acrylic,batik,Tiered,character,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,animal,1
6.0,Casual,Average,M,Summer,halter,sleevless,empire,cotton,batik,beading,animal,1
2.0,cute,Low,L,Summer,v-neck,full,empire,polyster,batik,hollowout,patchwork,2
2.0,Flare,Average,M,Spring,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,dot,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,bow,animal,1
5.0,Casual,Average,free,Winter,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,M,Winter,o-neck,sleevless,empire,cotton,chiffon,lace,solid,1
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,chiffonfabric,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,polyster,organza,lace,print,2
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
4.0,Casual,Average,free,Winter,o-neck,sleevless,natural,polyster,chiffon,lace,solid,1
2.0,Flare,High,L,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,animal,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,character,1
2.0,Flare,Average,L,Spring,Sweetheart,full,empire,lace,broadcloth,feathers,animal,1
5.0,Casual,Average,free,Winter,Scoop,short,natural,polyster,chiffon,embroidary,solid,2
2.0,Novelty,Low,L,Spring,Sweetheart,Petal,empire,linen,flannael,applique,floral,1
2.0,Casual,High,M,Summer,backless,cap-sleeves,empire,cashmere,broadcloth,crystal,character,1
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Novelty,Average,L,Spring,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Low,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,beading,animal,1
2.0,cute,Average,L,Automn,bowneck,butterfly,natural,modal,dobby,sashes,animal,1
2.0,OL,Average,M,Spring,Sweetheart,Petal,empire,cashmere,Corduroy,beading,character,1
4.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Casual,Average,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,Tiered,animal,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,OL,Average,L,Spring,bowneck,full,empire,cotton,batik,applique,leapord,1
5.0,cute,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Brief,Average,S,spring,peterpan-collor,sleevless,natural,spandex,other,sashes,striped,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,bohemian,Average,M,Summer,boat-neck,Petal,empire,chiffonfabric,flannael,applique,solid,1
2.0,Novelty,High,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,bow,character,1
2.0,Casual,Average,L,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,applique,floral,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,High,M,Autumn,Sweetheart,Petal,dropped,cashmere,broadcloth,Tiered,dot,1
2.0,Casual,Average,L,Automn,boat-neck,full,empire,cotton,broadcloth,bow,character,1
2.0,cute,Average,L,Spring,open,full,empire,chiffonfabric,wollen,applique,striped,1
2.0,Flare,Average,M,Spring,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,dot,1
2.0,Brief,High,L,Winter,v-neck,sleevless,dropped,spandex,organza,sashes,patchwork,2
2.0,Casual,Average,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,character,1
3.0,work,Medium,XL,Summer,turndowncollor,sleevless,empire,silk,broadcloth,lace,print,2
2.0,Brief,Low,L,Winter,v-neck,full,empire,wool,jersey,applique,solid,1
5.0,Casual,Average,free,Summer,sqare-collor,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Brief,low,free,Spring,turndowncollor,full,empire,cotton,dobby,lace,solid,2
6.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,chiffon,applique,character,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,dropped,cashmere,flannael,applique,dot,1
2.0,Flare,High,L,Automn,Sweetheart,Petal,empire,cashmere,dobby,Tiered,character,1
5.0,Casual,Average,free,Winter,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Spring,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,animal,1
2.0,Sexy,high,M,Spring,turndowncollor,full,empire,cotton,flannael,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,cute,Low,L,Summer,turndowncollor,full,empire,modal,batik,plain,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Spring,backless,Petal,dropped,chiffonfabric,batik,applique,animal,1
2.0,Novelty,Average,L,Spring,Sweetheart,Petal,empire,cashmere,dobby,applique,floral,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,free,Winter,o-neck,sleevless,empire,polyster,broadcloth,beading,patchwork,2
6.0,Novelty,Medium,M,Autumn,Sweetheart,butterfly,empire,cashmere,flannael,bow,dot,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Spring,sqare-collor,halfsleeve,empire,linen,batik,hollowout,solid,1
2.0,Novelty,Average,L,Spring,bowneck,sleevless,empire,cotton,dobby,sashes,animal,1
2.0,Casual,Average,free,Winter,v-neck,full,empire,cotton,organza,lace,solid,2
2.0,Flare,High,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Automn,o-neck,full,natural,cotton,chiffon,lace,solid,2
2.0,cute,very-high,M,Summer,slash-neck,sleevless,natural,cotton,batik,sequined,solid,1
6.0,bohemian,Average,M,Summer,Sweetheart,Petal,empire,chiffonfabric,broadcloth,beading,character,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,chiffon,applique,dot,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,High,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Flare,Average,S,Spring,boat-neck,Petal,dropped,cashmere,broadcloth,applique,character,1
5.0,cute,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,short,natural,polyster,chiffon,lace,solid,2
2.0,OL,Average,L,Automn,Sweetheart,Petal,dropped,cashmere,batik,Tiered,animal,1
2.0,Flare,Average,M,Spring,Sweetheart,Petal,dropped,cashmere,flannael,applique,animal,1
2.0,Brief,Low,M,Spring,boat-neck,Petal,empire,cashmere,flannael,applique,character,1
2.0,Casual,Average,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,beading,character,1
2.0,Casual,Average,L,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,character,1
2.0,Novelty,Average,M,Automn,Sweetheart,Petal,dropped,acrylic,flannael,applique,dot,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
6.0,work,Average,XL,Summer,o-neck,sleevless,natural,cotton,broadcloth,lace,character,2
2.0,bohemian,Average,L,Automn,Sweetheart,Petal,empire,chiffonfabric,flannael,applique,character,1
5.0,Casual,Average,free,Summer,slash-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,L,Autumn,Sweetheart,Petal,dropped,chiffonfabric,broadcloth,applique,floral,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,beading,animal,1
6.0,OL,High,M,Summer,boat-neck,Petal,empire,cashmere,broadcloth,cascading,character,1
2.0,Casual,Average,L,Spring,Sweetheart,Petal,empire,chiffonfabric,flannael,applique,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Low,L,Autumn,Sweetheart,Petal,empire,cashmere,chiffon,applique,floral,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,free,Winter,halter,short,natural,polyster,chiffon,embroidary,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,Average,L,Summer,Scoop,Petal,empire,chiffonfabric,batik,applique,character,1
2.0,Novelty,Low,M,Autumn,backless,Petal,empire,cashmere,broadcloth,applique,character,1
4.0,Casual,Average,free,Spring,o-neck,sleevless,empire,cotton,broadcloth,lace,print,2
2.0,Casual,High,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Flare,Average,L,Automn,Sweetheart,Petal,empire,cashmere,batik,Tiered,dot,1
2.0,Casual,Average,L,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,character,1
6.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,High,L,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,cute,low,M,spring,turndowncollor,threequater,empire,polyster,lace,plain,solid,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
6.0,Sexy,Average,XL,Summer,bowneck,sleevless,natural,nylon,worsted,rivet,solid,1
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,applique,floral,1
2.0,Flare,High,L,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,floral,1
2.0,Novelty,Average,M,Spring,Sweetheart,Petal,dropped,acrylic,flannael,applique,dot,1
2.0,Flare,Average,L,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,floral,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Winter,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,L,Automn,Sweetheart,butterfly,dropped,cashmere,chiffon,Tiered,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Spring,Sweetheart,Petal,dropped,cashmere,flannael,applique,dot,1
2.0,bohemian,Average,s,Winter,v-neck,Petal,dropped,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,beading,animal,1
6.0,Casual,Low,L,Automn,bowneck,full,empire,cashmere,chiffon,hollowout,leopard,1
2.0,OL,Average,M,Automn,Sweetheart,Petal,dropped,cashmere,flannael,applique,dot,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Novelty,Average,XL,Summer,turndowncollor,sleevless,natural,cotton,chiffon,embroidary,striped,2
3.0,party,high,S,Winter,sweetheart,sleevless,princess,mix,woolen,embroidary,dot,2
2.0,Flare,Average,L,Automn,Sweetheart,Petal,empire,cotton,flannael,applique,animal,1
2.0,Flare,High,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Novelty,Average,M,Spring,o-neck,short,natural,chiffonfabric,chiffon,bow,animal,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,Average,L,Spring,open,full,empire,acrylic,flannael,bow,geometric,1
2.0,Flare,Average,M,Autumn,Sweetheart,Petal,dropped,cashmere,broadcloth,applique,animal,1
2.0,Casual,Average,L,Spring,bowneck,cap-sleeves,dropped,cashmere,broadcloth,bow,animal,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,bohemian,high,M,Spring,backless,butterfly,empire,cashmere,jersey,hollowout,leapord,1
6.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,beading,character,1
2.0,Novelty,Average,L,Spring,boat-neck,capsleeves,dropped,acrylic,chiffon,bow,animal,1
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,cashmere,Corduroy,applique,dot,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Average,M,Automn,peterpan-collor,sleevless,natural,polyster,sattin,hollowout,solid,1
2.0,Casual,High,L,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,beading,character,1
2.0,Casual,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Flare,Average,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,beading,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Casual,Medium,M,Automn,o-neck,thressqatar,empire,modal,sattin,beading,leopard,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,Average,M,Spring,Sweetheart,Petal,dropped,cashmere,flannael,applique,character,1
2.0,Brief,Average,L,Spring,Sweetheart,Petal,empire,chiffonfabric,flannael,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,1
2.0,Flare,High,L,Automn,Sweetheart,Petal,empire,chiffonfabric,broadcloth,beading,character,1
2.0,Novelty,high,M,spring,turndowncollor,full,empire,rayon,flannael,beading,solid,1
2.0,Casual,Average,L,Winter,o-neck,full,empire,cotton,broadcloth,applique,character,1
5.0,Casual,Average,free,Spring,v-neck,short,natural,cotton,broadcloth,lace,solid,1
2.0,Novelty,Low,L,Spring,backless,butterfly,empire,cashmere,broadcloth,Tiered,animal,1
5.0,work,Low,XL,Spring,v-neck,full,natural,mix,worsted,bow,leapord,2
2.0,Novelty,Average,M,Autumn,Sweetheart,Petal,dropped,acrylic,flannael,applique,dot,1
2.0,Novelty,High,M,Summer,sweetheart,short,empire,cotton,chiffon,crystal,geometric,2
2.0,Brief,Average,M,Spring,boat-neck,short,empire,cashmere,chiffon,Tiered,animal,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Novelty,High,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Winter,v-neck,sleevless,natural,cotton,lace,lace,dot,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,High,M,Spring,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Brief,Average,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
2.0,Casual,Average,L,Autumn,Sweetheart,Petal,dropped,acrylic,broadcloth,bow,character,1
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
4.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,OL,low,L,Spring,backless,Petal,dropped,cashmere,flannael,applique,dot,1
2.0,Flare,Average,L,Automn,boat-neck,Petal,dropped,chiffonfabric,flannael,applique,animal,1
2.0,Casual,Average,M,Automn,Sweetheart,Petal,dropped,cotton,broadcloth,applique,animal,1
2.0,Novelty,low,L,Summer,peterpan-collor,sleevless,natural,polyster,worsted,sashes,striped,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
6.0,Sexy,Average,S,Summer,bowneck,sleevless,natural,polyster,sattin,rivet,solid,1
2.0,Casual,Average,M,Spring,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
3.0,cute,very-high,M,Winter,turndowncollor,sleevless,natural,polyster,jersey,draped,solid,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Low,L,Spring,backless,cap-sleeves,empire,lace,flannael,Tiered,floral,1
4.0,Casual,Average,free,Summer,v-neck,sleevless,natural,polyster,chiffon,lace,solid,2
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Flare,Average,L,Automn,sweetheart,Petal,empire,microfiber,dobby,embroidary,solid,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Casual,Average,L,Autumn,boat-neck,Petal,empire,cashmere,broadcloth,applique,animal,1
2.0,Casual,low,M,Winter,bowneck,full,empire,silk,sattin,feathers,solid,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Low,free,Spring,sqare-collor,capsleeves,dropped,silk,worsted,sashes,leopard,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Sexy,Low,L,Spring,Sweetheart,full,empire,cashmere,poplin,applique,leapord,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Casual,High,M,Automn,Sweetheart,Petal,dropped,chiffonfabric,flannael,applique,floral,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,chiffonfabric,flannael,applique,floral,1
2.0,Casual,Average,L,Summer,boat-neck,full,natural,silk,worsted,lace,leapord,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,Low,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,Tiered,animal,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
3.0,Novelty,Average,L,Automn,Sweetheart,Petal,empire,cashmere,chiffon,beading,character,1
4.0,Casual,Average,free,Winter,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Casual,Average,L,Autumn,boat-neck,Petal,empire,cashmere,broadcloth,applique,animal,1
2.0,Casual,low,M,Winter,bowneck,full,empire,silk,sattin,feathers,solid,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Low,free,Spring,sqare-collor,capsleeves,dropped,silk,worsted,sashes,leopard,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Sexy,Low,L,Spring,Sweetheart,full,empire,cashmere,poplin,applique,leapord,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Casual,High,M,Automn,Sweetheart,Petal,dropped,chiffonfabric,flannael,applique,floral,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,chiffonfabric,flannael,applique,floral,1
2.0,Casual,Average,L,Summer,boat-neck,full,natural,silk,worsted,lace,leapord,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,Low,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,Tiered,animal,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
3.0,Novelty,Average,L,Automn,Sweetheart,Petal,empire,cashmere,chiffon,beading,character,1
4.0,Casual,Average,free,Winter,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,chiffon,applique,character,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,dot,1
2.0,Casual,Average,L,Autumn,boat-neck,Petal,empire,cashmere,broadcloth,applique,animal,1
2.0,Casual,low,M,Winter,bowneck,full,empire,silk,sattin,feathers,solid,1
5.0,Casual,Average,free,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2
5.0,Casual,Low,free,Spring,sqare-collor,capsleeves,dropped,silk,worsted,sashes,leopard,2
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Sexy,Low,L,Spring,Sweetheart,full,empire,cashmere,poplin,applique,leapord,2
5.0,Casual,Average,free,Spring,o-neck,sleevless,natural,polyster,chiffon,lace,solid,2
2.0,Casual,High,M,Automn,Sweetheart,Petal,dropped,chiffonfabric,flannael,applique,floral,1
2.0,Casual,High,M,Automn,Sweetheart,Petal,empire,cashmere,flannael,applique,dot,1
2.0,Flare,Average,M,Automn,Sweetheart,Petal,empire,chiffonfabric,flannael,applique,floral,1
2.0,Casual,Average,L,Summer,boat-neck,full,natural,silk,worsted,lace,leapord,1
5.0,Casual,Average,free,Summer,v-neck,sleevless,natural,cotton,chiffon,lace,solid,2
2.0,Novelty,Low,M,Automn,Sweetheart,Petal,empire,cashmere,dobby,Tiered,animal,1
2.0,Casual,High,M,Autumn,Sweetheart,Petal,empire,cashmere,broadcloth,applique,character,1
3.0,Novelty,Average,L,Automn,Sweetheart,Petal,empire,cashmere,chiffon,beading,character,1
4.0,Casual,Average,free,Winter,o-neck,sleevless,natural,cotton,chiffon,lace,solid,2